RouteID,Direction,Trip,AgencyID,Latitude,Longitude
906,0,6,Veniam,41.1301,-8.63155
900,1,6,Veniam,41.1332,-8.61147
909,1,0,Veniam,41.1825,-8.62058
208,1,7,STCP,41.1529,-8.62631
106,0,15,STCP,41.0862,-8.65297
400,1,11,STCP,41.1823,-8.62063
207,0,7,Veniam,41.1478,-8.61913
906,0,4,STCP,41.1376,-8.60136
604,1,6,Veniam,41.23,-8.61946
902,1,5,STCP,41.169,-8.64284
403,0,8,STCP,41.147,-8.58623
106,1,0,STCP,41.1691,-8.64136
700,1,6,STCP,41.1855,-8.48622
401,1,4,Veniam,41.1605,-8.57034
702,0,9,STCP,41.1608,-8.60426
205,1,9,Veniam,41.1783,-8.6547
601,1,8,Veniam,41.1865,-8.66678
400,1,27,STCP,41.1824,-8.62064
602,1,6,Veniam,41.1776,-8.62861
905,1,8,STCP,41.1371,-8.60612
205,1,20,Veniam,41.1821,-8.61983
402,0,9,STCP,41.1567,-8.62939
301,0,6,STCP,41.1448,-8.60453
200,1,5,STCP,41.1506,-8.66423
800,0,5,STCP,41.1475,-8.60314
803,1,5,STCP,41.1559,-8.62866
500,1,9,STCP,41.1447,-8.61085
904,1,8,STCP,41.1838,-8.61932
401,0,11,Veniam,41.1489,-8.59893
204,1,7,Veniam,41.1531,-8.62639
401,0,28,STCP,41.1815,-8.62046
99,1,0,Veniam,41.1829,-8.61946
900,0,8,Veniam,41.1328,-8.60702
803,0,14,Veniam,41.1736,-8.54708
702,1,8,Veniam,41.1517,-8.60713
901,0,18,Veniam,41.1823,-8.61893
701,1,17,STCP,41.1819,-8.62135
705,0,6,STCP,41.191,-8.49837
500,1,8,Veniam,41.1446,-8.61051
907,1,12,Veniam,41.1566,-8.62939
402,1,2,Veniam,41.1669,-8.57058
700,1,5,STCP,41.1634,-8.57239
205,1,17,STCP,41.1818,-8.62018
208,1,8,Veniam,41.1748,-8.66061
404,1,9,Veniam,41.3507,-5.98662
704,0,4,Veniam,41.2061,-8.55868
401,0,29,Veniam,41.1829,-8.6189
602,0,7,STCP,41.1498,-8.61979
702,1,5,Veniam,41.1822,-8.61948
905,0,8,STCP,41.1098,-8.61123
704,1,4,STCP,41.2067,-8.55593
400,1,4,Veniam,41.1468,-8.60687
99,0,2,STCP,41.1823,-8.62044
700,1,4,Veniam,41.1822,-8.62021
702,1,8,STCP,41.2144,-8.56062
500,0,0,STCP,41.1696,-8.64223
600,0,0,STCP,41.1687,-8.64375
703,1,6,Veniam,41.186,-8.58119
507,0,5,STCP,41.1501,-8.62571
205,1,16,Veniam,41.1824,-8.6193
207,1,7,Veniam,41.1521,-8.62535
600,0,10,Veniam,41.1707,-8.64169
704,1,10,STCP,41.1688,-8.64174
803,0,6,STCP,41.1817,-8.59741
201,0,10,Veniam,41.179,-8.64645
704,1,5,Veniam,41.1814,-8.58527
600,1,8,STCP,41.1892,-8.6122
701,1,6,STCP,41.2232,-8.53286
806,0,22,Veniam,41.1822,-8.62075
207,1,7,Veniam,41.1485,-8.65903
905,0,15,STCP,41.1097,-8.62971
805,1,8,STCP,41.1875,-8.55835
107,1,12,STCP,41.1519,-8.57261
909,1,0,Veniam,41.1829,-8.61943
202,0,8,STCP,41.1488,-8.67277
107,0,27,STCP,41.1699,-8.64
400,1,5,STCP,41.1513,-8.61058
902,1,9,STCP,41.1452,-8.64087
300,0,14,STCP,41.1729,-8.60625
207,1,4,STCP,41.1496,-8.58608
903,0,8,Veniam,41.1426,-8.64049
304,0,9,Veniam,41.1795,-8.62432
907,0,7,STCP,41.1399,-8.63451
902,0,8,Veniam,41.1369,-8.62971
907,0,18,STCP,41.1691,-8.64288
402,1,8,STCP,41.1663,-8.57072
207,1,7,Veniam,41.1462,-8.59594
600,1,6,STCP,41.164,-8.61103
800,1,8,Veniam,41.1563,-8.5917
205,1,14,STCP,41.1834,-8.62089
904,0,28,STCP,41.1838,-8.62019
905,0,7,STCP,41.1374,-8.60152
803,1,7,STCP,41.1763,-8.56102
700,1,10,STCP,41.1821,-8.62033
700,0,8,Veniam,41.1835,-8.61956
500,0,0,STCP,41.1687,-8.64102
906,1,4,STCP,41.1503,-8.60793
400,0,0,Veniam,41.1444,-8.60476
201,1,7,Veniam,41.1475,-8.62117
400,1,6,Veniam,41.1518,-8.56698
207,1,17,STCP,41.1817,-8.61968
701,0,9,STCP,41.2158,-8.55297
700,0,14,Veniam,41.1821,-8.62036
204,1,7,Veniam,41.1836,-8.60068
208,1,6,STCP,41.1512,-8.61071
205,1,18,STCP,41.1821,-8.62016
303,0,9,STCP,41.1494,-8.60209
600,0,9,STCP,41.1627,-8.61115
906,1,5,STCP,41.1839,-8.61956
702,1,4,STCP,41.1822,-8.61924
208,0,7,Veniam,41.1524,-8.62607
502,0,0,Veniam,41.1872,-8.69423
508,1,5,STCP,41.1695,-8.64255
208,0,20,Veniam,41.1817,-8.62053
500,0,7,STCP,41.154,-8.67916
600,0,18,STCP,41.1691,-8.64253
205,0,8,Veniam,41.1797,-8.58915
304,1,0,Veniam,41.1704,-8.6402
901,1,6,Veniam,41.172,-8.64042
505,1,6,STCP,41.1914,-8.67718
107,0,15,STCP,41.1689,-8.64129
900,1,7,Veniam,41.1488,-8.61487
803,0,6,STCP,41.1769,-8.54893
907,1,5,STCP,41.1703,-8.64005
702,0,8,Veniam,41.2056,-8.56856
205,0,7,STCP,41.1797,-8.62846
600,0,7,STCP,41.1691,-8.64287
702,0,29,Veniam,41.1822,-8.6218
500,0,5,STCP,41.1437,-8.6217
205,1,16,STCP,41.1818,-8.62043
207,0,20,STCP,41.1818,-8.61965
905,0,5,STCP,41.1471,-8.61147
901,1,6,STCP,41.1435,-8.61309
504,0,11,Veniam,41.1707,-8.64021
801,0,8,Veniam,40.9051,-8.85324
702,0,7,Veniam,41.226,-8.55313
707,1,4,STCP,41.1834,-8.60247
704,1,8,Veniam,41.165,-8.62927
902,0,12,Veniam,41.1697,-8.64029
804,1,8,Veniam,41.1828,-8.59995
903,0,8,STCP,41.1706,-8.64075
907,1,6,STCP,41.1433,-8.6417
704,1,4,Veniam,41.1701,-8.64058
600,1,8,Veniam,41.2275,-8.61888
304,0,20,STCP,41.1689,-8.64262
905,1,19,Veniam,41.182,-8.62153
801,1,6,Veniam,41.1578,-8.58722
600,1,9,STCP,41.1475,-8.611
700,0,5,STCP,41.1555,-8.5908
906,1,6,STCP,41.1368,-8.61821
601,0,8,Veniam,41.21,-8.68927
502,0,7,STCP,41.1837,-8.69411
502,0,6,STCP,41.1691,-8.64297
602,1,5,STCP,41.2364,-8.64732
205,1,11,Veniam,41.1633,-8.58109
705,1,7,STCP,41.2206,-8.55609
906,1,14,STCP,41.1841,-8.61981
806,1,4,Veniam,41.1821,-8.62162
303,0,8,Veniam,41.1459,-8.61486
505,1,6,STCP,41.1831,-8.60146
706,1,9,Veniam,41.1825,-8.59885
500,1,10,STCP,41.1694,-8.64291
202,0,8,STCP,41.1642,-8.63583
205,1,7,STCP,41.1485,-8.58606
706,1,4,Veniam,41.2007,-8.60896
600,0,0,STCP,41.1696,-8.64222
801,1,17,STCP,41.1838,-8.62021
805,1,7,Veniam,41.1836,-8.62058
305,0,21,Veniam,41.1826,-8.61517
602,0,6,STCP,41.1665,-8.62505
302,0,7,STCP,41.1566,-8.62815
404,0,8,Veniam,41.1819,-8.62116
604,0,7,STCP,41.2325,-8.66086
801,0,6,STCP,41.1526,-8.49969
703,1,4,Veniam,41.1486,-8.61717
602,0,16,STCP,41.1838,-8.62019
209,0,7,STCP,41.1696,-8.64227
508,1,6,STCP,41.1704,-8.6403
907,0,12,Veniam,41.1705,-8.64039
801,1,7,Veniam,41.1481,-8.62001
403,1,0,STCP,41.1614,-8.62966
300,0,6,Veniam,41.1822,-8.59762
202,1,24,STCP,41.1696,-8.64225
803,1,19,STCP,41.1821,-8.59626
205,1,15,Veniam,41.1843,-8.62335
206,0,9,Veniam,41.1509,-8.59343
500,1,5,Veniam,41.1552,-8.68011
202,0,9,STCP,41.1553,-8.61341
508,0,16,STCP,41.1694,-8.64242
206,1,0,Veniam,41.1499,-8.58601
800,0,0,Veniam,41.1823,-8.62029
206,1,8,STCP,41.1623,-8.60927
202,1,9,STCP,41.1535,-8.61011
903,1,8,STCP,41.1563,-8.62793
107,0,26,STCP,41.1698,-8.63991
803,1,7,Veniam,41.1567,-8.62956
805,1,8,STCP,41.1614,-8.60469
601,0,10,STCP,41.237,-8.66984
400,0,10,Veniam,41.1448,-8.5807
107,0,16,Veniam,41.1699,-8.63998
401,1,24,STCP,41.1837,-8.62032
700,0,5,STCP,41.1933,-8.5016
402,1,5,Veniam,41.1702,-8.6392
800,0,8,Veniam,41.1631,-8.53744
107,1,9,STCP,41.1699,-8.63997
209,0,8,STCP,41.1521,-8.63762
806,1,8,Veniam,41.1625,-8.5752
803,0,14,Veniam,41.1753,-8.54921
902,1,14,Veniam,41.1612,-8.62964
500,1,7,Veniam,41.1465,-8.63185
603,1,18,STCP,41.1818,-8.62123
704,1,0,STCP,41.1717,-8.61882
107,0,0,STCP,41.1691,-8.6429
505,1,6,Veniam,41.183,-8.60155
803,0,4,Veniam,41.1806,-8.58264
903,0,0,STCP,41.1074,-8.60915
400,0,17,STCP,41.1743,-8.56532
901,0,10,STCP,41.1818,-8.6211
207,0,7,STCP,41.1544,-8.64907
500,1,6,STCP,41.1686,-8.64181
704,0,11,STCP,41.1692,-8.6427
5,0,11,STCP,41.1809,-8.62128
303,0,22,STCP,41.1816,-8.62012
803,1,15,STCP,41.1643,-8.63614
107,1,19,STCP,41.1576,-8.55817
305,0,7,STCP,41.1829,-8.60018
502,0,7,STCP,41.1605,-8.64405
503,1,6,STCP,41.1692,-8.64292
401,1,10,Veniam,41.1635,-8.58579
305,1,6,Veniam,41.1807,-8.58278
401,1,5,STCP,41.1824,-8.62028
704,1,4,STCP,41.1706,-8.64043
801,1,8,STCP,41.1821,-8.6201
301,0,11,STCP,41.169,-8.64276
106,0,22,STCP,41.0835,-8.65545
600,0,8,STCP,41.2097,-8.61335
704,1,9,STCP,41.1642,-8.63253
503,0,6,STCP,41.1789,-8.64575
507,0,7,STCP,41.1887,-8.70377
402,0,22,STCP,41.1695,-8.64249
504,0,7,STCP,41.1525,-8.66236
508,0,7,STCP,41.202,-8.64359
301,0,6,STCP,41.1481,-8.62271
502,0,9,STCP,41.151,-8.607
507,0,22,STCP,41.1692,-8.64269
1,1,2,STCP,41.1473,-8.61141
504,1,0,STCP,41.1693,-8.64234
200,0,6,STCP,41.1592,-8.68113
402,0,11,STCP,41.1615,-8.60986
704,0,6,STCP,41.184,-8.60464
502,1,8,STCP,41.157,-8.62926
205,1,7,Veniam,41.1808,-8.57717
500,0,6,Veniam,41.1407,-8.61569
507,1,6,STCP,41.1452,-8.61739
402,0,9,STCP,41.1631,-8.59025
704,1,5,STCP,41.2303,-8.53844
905,1,9,Veniam,41.1087,-8.61985
701,0,7,STCP,41.2158,-8.55302
503,1,11,Veniam,41.1698,-8.64333
301,0,17,STCP,41.1704,-8.64025
304,1,7,STCP,41.1482,-8.61079
202,1,8,STCP,41.166,-8.65747
202,1,18,Veniam,41.1829,-8.62448
403,1,8,STCP,41.1411,-8.61029
504,1,6,STCP,41.1611,-8.62953
507,1,10,STCP,41.1695,-8.64245
508,1,6,STCP,41.2241,-8.68339
504,0,6,STCP,41.1814,-8.6544
903,1,0,STCP,41.145,-8.64154
902,1,8,STCP,41.132,-8.65504
508,1,6,Veniam,41.1614,-8.63033
508,1,5,STCP,41.2023,-8.64139
403,1,0,STCP,41.1701,-8.63981
903,0,6,STCP,41.118,-8.62183
903,1,6,STCP,41.1442,-8.64213
502,0,14,Veniam,41.1702,-8.63995
205,1,15,STCP,41.1755,-8.68211
500,1,17,STCP,41.1697,-8.64248
207,1,6,STCP,41.1742,-8.6096
703,1,21,Veniam,41.1828,-8.62139
703,0,5,Veniam,41.2209,-8.54306
203,0,2,Veniam,41.1831,-8.62133
800,1,5,STCP,41.1831,-8.62165
603,1,6,STCP,41.2326,-8.62509
703,0,7,STCP,41.1616,-8.61133
206,1,5,Veniam,41.1729,-8.64035
204,0,11,STCP,41.1854,-8.62338
203,1,7,STCP,41.162,-8.61374
208,0,18,STCP,41.1836,-8.62126
203,0,8,STCP,41.1592,-8.63635
203,0,7,STCP,41.1738,-8.68881
905,1,0,STCP,41.1095,-8.60996
203,1,15,Veniam,41.1609,-8.60417
404,1,16,STCP,41.1637,-8.5889
603,1,0,STCP,41.1831,-8.59989
205,1,0,STCP,41.1839,-8.62013
702,1,4,Veniam,41.1514,-8.60728
602,1,11,STCP,41.146,-8.61536
207,0,7,STCP,41.1788,-8.62226
203,1,6,STCP,41.1604,-8.65918
204,1,24,Veniam,41.1826,-8.61919
201,1,21,Veniam,41.184,-8.62202
303,0,20,STCP,41.1834,-8.62161
404,0,9,Veniam,41.1831,-8.60057
207,1,0,STCP,41.1432,-8.60893
94,0,27,STCP,41.1652,-8.58835
603,0,6,STCP,41.2313,-8.6083
203,0,6,STCP,41.1633,-8.61545
208,0,11,Veniam,41.1595,-8.62868
204,1,11,STCP,41.1832,-8.62135
206,1,0,STCP,41.1497,-8.586
201,0,9,STCP,41.1778,-8.64228
305,0,22,STCP,41.1839,-8.61983
205,1,10,Veniam,41.1841,-8.62008
305,0,6,Veniam,41.1842,-8.60078
203,1,18,Veniam,41.1836,-8.62217
603,1,6,STCP,41.19,-8.59156
404,0,10,STCP,41.164,-8.58835
208,1,7,Veniam,41.1837,-8.62023
207,1,19,Veniam,41.1828,-8.61994
201,1,5,Veniam,41.1485,-8.61834
106,1,4,STCP,41.17,-8.64101
204,0,11,STCP,41.1831,-8.62134
701,1,10,Veniam,41.1835,-8.62215
204,0,6,STCP,41.1538,-8.64125
204,1,10,Veniam,41.1832,-8.62144
305,1,22,Veniam,41.1834,-8.62141
204,1,7,STCP,41.1645,-8.60866
95,0,12,STCP,38.699,-9.34661
